state_abbr,data_year,Population,Aggravated Assault_rate,All Other Offenses (Except Traffic)_rate,Arson_rate,Burglary_rate,Curfew and Loitering Law Violations_rate,Disorderly Conduct_rate,Driving Under the Influence_rate,Drug Abuse Violations - Grand Total_rate,Drunkenness_rate,Embezzlement_rate,Forgery and Counterfeiting_rate,Fraud_rate,Gambling - Total_rate,Human Trafficking - Commercial Sex Acts_rate,Human Trafficking - Involuntary Servitude_rate,Larceny - Theft_rate,Liquor Laws_rate,Manslaughter by Negligence_rate,Motor Vehicle Theft_rate,Murder and Nonnegligent Manslaughter_rate,Offenses Against the Family and Children_rate,Prostitution and Commercialized Vice_rate,Rape_rate,Robbery_rate,Simple Assault_rate,"Stolen Property: Buying, Receiving, Possessing_rate",Suspicion_rate,Vagrancy_rate,Vandalism_rate,"Weapons: Carrying, Possessing, Etc._rate","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)_rate",Average Rate Per Year
AL,2014,4843737,14.59616821,256.0419775,0.619356501,12.40777524,0,10.2606727,46.53431844,8.815507531,34.58073797,1.176777352,3.550977272,17.50714376,0,0,0,69.98728461,14.43100647,0,3.220653805,0.640001718,3.034846855,0,1.259358219,3.034846855,81.3421538,6.792276294,0,0.268387817,5.677434592,5.140658958,1.424519952,19.43047879
AL,2015,4854803,89.51959534,1319.229637,2.368788188,68.3240906,0,49.7651501,182.0053254,211.9344492,160.0270907,5.849876916,26.57162402,93.82461039,0,0,0,359.5820469,40.86674578,0.144187107,16.25194678,6.36483087,20.43337289,0.22657974,8.012683522,24.92377137,411.0156478,43.37972107,0,3.048527407,33.55439963,31.10321881,10.71104224,103.8399664
AL,2016,4866824,100.4145619,1505.951314,2.362937308,67.84712165,0,48.20392108,177.9394529,222.1777488,156.590828,4.232739873,29.54698999,80.83300321,0,0,0,320.0855424,53.9982543,0.267114652,19.66374786,7.355926576,21.78011779,0.020547281,8.362743341,27.67718742,399.0076485,44.46431595,0,1.376667823,34.84818847,36.57416007,15.22553517,109.2518812
AL,2017,4877989,98.48320691,1646.252175,2.706033162,71.09487127,0,47.25307909,165.3345262,245.695511,142.1282418,3.895047734,26.17882082,71.15637202,0,0,0,319.2299122,45.42855673,0.16400201,21.91476857,7.072586675,18.14272234,2.111525877,7.687594211,25.03080675,372.4895649,55.14567581,0,1.16851432,31.38588463,43.13252859,12.91515828,112.3612157
AL,2018,4891628,95.03993354,1717.362808,2.678045019,65.07036103,0,44.64771238,161.0506768,245.8690645,132.3690191,3.700199606,23.59132788,64.19130809,0,0,0,326.3739598,35.85718293,0.265760193,23.18246604,6.562232451,12.20452577,2.064752267,8.034135057,24.73614101,353.7063734,52.98849381,0,1.226585505,29.2336212,46.28315972,13.49244055,112.6381382
AL,2019,4907965,91.68769541,1804.719471,2.159754603,54.82924185,0,43.60259293,144.1126821,209.4350714,124.9805164,3.463757382,21.49567081,58.70050011,0,0,0,310.2304112,36.16570208,0.101875217,21.29192038,7.905516849,10.71727284,2.159754603,7.579516154,21.45492073,356.3187594,47.35160092,0,0.672376433,28.07680984,30.11431418,11.47114945,111.3160921
AL,2020,5031864,34.9572246,590.5763749,0.775060693,19.89322446,0,13.61324551,60.47460742,80.66593215,51.19375245,0.635947235,6.876179483,17.1109553,0,0,0,98.11473442,14.11007929,0.039746702,6.955672888,3.577203199,3.100242773,0.993667555,1.96746176,6.379345706,138.7954841,18.56170993,0,0.17886016,9.777688745,11.30793678,4.292643839,38.54596716
AL,2021,5050380,31.54218098,781.3471462,0.831620591,19.36487947,0,44.68970652,43.95708838,210.9940242,0,0.297007354,5.524336783,12.96932112,0.257406373,0.138603432,0,84.369889,96.25018315,0,8.732016205,3.247280403,3.445285305,1.009825003,2.237455399,5.682740705,111.912371,20.03809614,0,0.039600981,19.48368242,33.08661922,1.445435789,49.77076781
AL,2022,5073903,56.70191172,1198.130906,1.537278107,28.695858,0,48.81843425,124.0859354,337.6493402,0,0.650386892,9.814929454,23.84751936,0.177378243,0.177378243,0,162.9711881,122.7260356,0,11.8449249,5.242512519,6.05056896,0.926308603,4.316203916,8.435320896,190.8392809,28.91265363,0,0,29.16886665,37.78156579,1.734365044,78.7495823
AK,2014,737075,172.3026829,1442.729709,19.12966794,39.34470712,0.678357019,101.4822101,327.5107689,162.3986704,17.36593969,8.411627039,10.85371231,25.77756673,0,0,0,391.1406573,169.7249262,0.678357019,28.62666621,2.577756673,25.50622393,4.884170539,12.07475494,28.49099481,434.1484924,3.391785096,2.306413866,0,100.8038531,30.25472306,34.86755079,116.0471918
