state_abbr,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Population,Aggravated Assault_rate,All Other Offenses (Except Traffic)_rate,Arson_rate,Burglary_rate,Curfew and Loitering Law Violations_rate,Disorderly Conduct_rate,Driving Under the Influence_rate,Drug Abuse Violations - Grand Total_rate,Drunkenness_rate,Embezzlement_rate,Forgery and Counterfeiting_rate,Fraud_rate,Gambling - Total_rate,Human Trafficking - Commercial Sex Acts_rate,Human Trafficking - Involuntary Servitude_rate,Larceny - Theft_rate,Liquor Laws_rate,Manslaughter by Negligence_rate,Motor Vehicle Theft_rate,Murder and Nonnegligent Manslaughter_rate,Offenses Against the Family and Children_rate,Prostitution and Commercialized Vice_rate,Rape_rate,Robbery_rate,Simple Assault_rate,"Stolen Property: Buying, Receiving, Possessing_rate",Suspicion_rate,Vagrancy_rate,Vandalism_rate,"Weapons: Carrying, Possessing, Etc._rate","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)_rate"
AL,2014,707,12402,30,601,0,497,2254,427,1675,57,172,848,0,0,0,3390,699,0,156,31,147,0,61,147,3940,329,0,13,275,249,69,4843737,14.59616821,256.0419775,0.619356501,12.40777524,0,10.2606727,46.53431844,8.815507531,34.58073797,1.176777352,3.550977272,17.50714376,0,0,0,69.98728461,14.43100647,0,3.220653805,0.640001718,3.034846855,0,1.259358219,3.034846855,81.3421538,6.792276294,0,0.268387817,5.677434592,5.140658958,1.424519952
AL,2015,4346,64046,115,3317,0,2416,8836,10289,7769,284,1290,4555,0,0,0,17457,1984,7,789,309,992,11,389,1210,19954,2106,0,148,1629,1510,520,4854803,89.51959534,1319.229637,2.368788188,68.3240906,0,49.7651501,182.0053254,211.9344492,160.0270907,5.849876916,26.57162402,93.82461039,0,0,0,359.5820469,40.86674578,0.144187107,16.25194678,6.36483087,20.43337289,0.22657974,8.012683522,24.92377137,411.0156478,43.37972107,0,3.048527407,33.55439963,31.10321881,10.71104224
AL,2016,4887,73292,115,3302,0,2346,8660,10813,7621,206,1438,3934,0,0,0,15578,2628,13,957,358,1060,1,407,1347,19419,2164,0,67,1696,1780,741,4866824,100.4145619,1505.951314,2.362937308,67.84712165,0,48.20392108,177.9394529,222.1777488,156.590828,4.232739873,29.54698999,80.83300321,0,0,0,320.0855424,53.9982543,0.267114652,19.66374786,7.355926576,21.78011779,0.020547281,8.362743341,27.67718742,399.0076485,44.46431595,0,1.376667823,34.84818847,36.57416007,15.22553517
AL,2017,4804,80304,132,3468,0,2305,8065,11985,6933,190,1277,3471,0,0,0,15572,2216,8,1069,345,885,103,375,1221,18170,2690,0,57,1531,2104,630,4877989,98.48320691,1646.252175,2.706033162,71.09487127,0,47.25307909,165.3345262,245.695511,142.1282418,3.895047734,26.17882082,71.15637202,0,0,0,319.2299122,45.42855673,0.16400201,21.91476857,7.072586675,18.14272234,2.111525877,7.687594211,25.03080675,372.4895649,55.14567581,0,1.16851432,31.38588463,43.13252859,12.91515828
AL,2018,4649,84007,131,3183,0,2184,7878,12027,6475,181,1154,3140,0,0,0,15965,1754,13,1134,321,597,101,393,1210,17302,2592,0,60,1430,2264,660,4891628,95.03993354,1717.362808,2.678045019,65.07036103,0,44.64771238,161.0506768,245.8690645,132.3690191,3.700199606,23.59132788,64.19130809,0,0,0,326.3739598,35.85718293,0.265760193,23.18246604,6.562232451,12.20452577,2.064752267,8.034135057,24.73614101,353.7063734,52.98849381,0,1.226585505,29.2336212,46.28315972,13.49244055
AL,2019,4500,88575,106,2691,0,2140,7073,10279,6134,170,1055,2881,0,0,0,15226,1775,5,1045,388,526,106,372,1053,17488,2324,0,33,1378,1478,563,4907965,91.68769541,1804.719471,2.159754603,54.82924185,0,43.60259293,144.1126821,209.4350714,124.9805164,3.463757382,21.49567081,58.70050011,0,0,0,310.2304112,36.16570208,0.101875217,21.29192038,7.905516849,10.71727284,2.159754603,7.579516154,21.45492073,356.3187594,47.35160092,0,0.672376433,28.07680984,30.11431418,11.47114945
AL,2020,1759,29717,39,1001,0,685,3043,4059,2576,32,346,861,0,0,0,4937,710,2,350,180,156,50,99,321,6984,934,0,9,492,569,216,5031864,34.9572246,590.5763749,0.775060693,19.89322446,0,13.61324551,60.47460742,80.66593215,51.19375245,0.635947235,6.876179483,17.1109553,0,0,0,98.11473442,14.11007929,0.039746702,6.955672888,3.577203199,3.100242773,0.993667555,1.96746176,6.379345706,138.7954841,18.56170993,0,0.17886016,9.777688745,11.30793678,4.292643839
AL,2021,1593,39461,42,978,0,2257,2220,10656,0,15,279,655,13,7,0,4261,4861,0,441,164,174,51,113,287,5652,1012,0,2,984,1671,73,5050380,31.54218098,781.3471462,0.831620591,19.36487947,0,44.68970652,43.95708838,210.9940242,0,0.297007354,5.524336783,12.96932112,0.257406373,0.138603432,0,84.369889,96.25018315,0,8.732016205,3.247280403,3.445285305,1.009825003,2.237455399,5.682740705,111.912371,20.03809614,0,0.039600981,19.48368242,33.08661922,1.445435789
AL,2022,2877,60792,78,1456,0,2477,6296,17132,0,33,498,1210,9,9,0,8269,6227,0,601,266,307,47,219,428,9683,1467,0,0,1480,1917,88,5073903,56.70191172,1198.130906,1.537278107,28.695858,0,48.81843425,124.0859354,337.6493402,0,0.650386892,9.814929454,23.84751936,0.177378243,0.177378243,0,162.9711881,122.7260356,0,11.8449249,5.242512519,6.05056896,0.926308603,4.316203916,8.435320896,190.8392809,28.91265363,0,0,29.16886665,37.78156579,1.734365044
AK,2014,1270,10634,141,290,5,748,2414,1197,128,62,80,190,0,0,0,2883,1251,5,211,19,188,36,89,210,3200,25,17,0,743,223,257,737075,172.3026829,1442.729709,19.12966794,39.34470712,0.678357019,101.4822101,327.5107689,162.3986704,17.36593969,8.411627039,10.85371231,25.77756673,0,0,0,391.1406573,169.7249262,0.678357019,28.62666621,2.577756673,25.50622393,4.884170539,12.07475494,28.49099481,434.1484924,3.391785096,2.306413866,0,100.8038531,30.25472306,34.86755079
