state_abbr,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Unemployment_Rate
AL,2014,707,12402,30,601,0,497,2254,427,1675,57,172,848,0,0,0,3390,699,0,156,31,147,0,61,147,3940,329,0,13,275,249,69,6.733333333
AL,2015,4346,64046,115,3317,0,2416,8836,10289,7769,284,1290,4555,0,0,0,17457,1984,7,789,309,992,11,389,1210,19954,2106,0,148,1629,1510,520,6.125
AL,2016,4887,73292,115,3302,0,2346,8660,10813,7621,206,1438,3934,0,0,0,15578,2628,13,957,358,1060,1,407,1347,19419,2164,0,67,1696,1780,741,5.533363678
AL,2017,4804,80304,132,3468,0,2305,8065,11985,6933,190,1277,3471,0,0,0,15572,2216,8,1069,345,885,103,375,1221,18170,2690,0,57,1531,2104,630,4.508333333
AL,2018,4649,84007,131,3183,0,2184,7878,12027,6475,181,1154,3140,0,0,0,15965,1754,13,1134,321,597,101,393,1210,17302,2592,0,60,1430,2264,660,3.941666667
AL,2019,4500,88575,106,2691,0,2140,7073,10279,6134,170,1055,2881,0,0,0,15226,1775,5,1045,388,526,106,372,1053,17488,2324,0,33,1378,1478,563,3.183333333
AL,2020,1759,29717,39,1001,0,685,3043,4059,2576,32,346,861,0,0,0,4937,710,2,350,180,156,50,99,321,6984,934,0,9,492,569,216,6.425
AL,2021,1593,39461,42,978,0,2257,2220,10656,0,15,279,655,13,7,0,4261,4861,0,441,164,174,51,113,287,5652,1012,0,2,984,1671,73,3.366666667
AL,2022,2877,60792,78,1456,0,2477,6296,17132,0,33,498,1210,9,9,0,8269,6227,0,601,266,307,47,219,428,9683,1467,0,0,1480,1917,88,2.575
AK,2014,1270,10634,141,290,5,748,2414,1197,128,62,80,190,0,0,0,2883,1251,5,211,19,188,36,89,210,3200,25,17,0,743,223,257,6.753846154
AK,2015,1734,13025,67,485,5,795,3163,1212,80,72,39,230,0,0,0,2540,1100,1,361,47,181,8,118,294,4350,52,0,3,898,303,240,6.31183432
AK,2016,1845,11340,51,538,12,738,3063,1006,112,81,96,236,0,0,0,2401,775,5,505,41,195,13,130,282,4300,82,0,4,1024,311,281,4.063632226
AK,2017,1913,10737,22,623,0,757,3102,1004,43,77,113,219,0,0,0,2356,653,2,694,46,159,5,126,289,4478,105,0,2,1004,369,256,6.513679493
AK,2018,2132,11072,43,602,5,843,3148,1046,47,54,154,201,0,0,0,2392,592,4,726,38,174,2,149,367,4943,120,0,17,1103,387,263,6.077975346
AK,2019,2188,11465,52,641,0,878,3196,1098,33,46,88,132,0,0,0,2107,340,4,514,48,190,6,135,321,5202,92,0,38,1211,295,246,5.629075027
AK,2020,2132,9909,43,476,0,663,3061,817,19,35,55,200,0,0,0,1577,277,1,344,33,101,1,165,288,4654,66,2,44,1083,333,245,8.102236541
AK,2021,739,4521,14,177,0,480,1746,508,0,3,11,31,0,1,0,426,131,3,127,16,36,0,88,35,2147,11,0,8,379,146,50,6.561710503
AK,2022,1893,6666,42,428,1,525,3227,831,4,30,44,104,0,0,0,1063,134,1,323,55,125,9,129,197,3850,70,0,4,988,292,205,4.220131577
AZ,2014,6973,76924,208,3948,1470,15103,27590,30237,0,156,1157,2096,6,0,0,36742,14514,18,1603,181,2533,892,303,1610,26017,1189,0,303,10916,2395,1638,6.838461538
