state_abbr,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)"
AL,2004,3926,78939,121,3498,59,4834,13582,18315,9474,20,2490,10432,54,0,0,15773,6529,25,1173,280,1143,173,457,1405,28536,2200,2,317,2550,1215,396
AL,2005,3389,68569,95,2932,76,4675,11621,15704,8562,10,2001,8060,49,0,0,13377,4895,28,1051,284,981,124,359,1325,24141,1901,2,297,2179,1148,455
AL,2006,2971,62179,95,2843,30,3966,10536,14814,8152,34,1650,6955,82,0,0,11213,5032,26,924,309,792,188,280,1439,21463,1971,0,266,1791,1113,463
AL,2007,3807,77383,107,3379,55,5014,12857,17308,10584,61,1892,7818,57,0,0,16258,6073,27,1068,336,1054,182,319,1763,25034,2255,1,421,2033,1467,604
AL,2008,4019,87077,141,4275,37,5028,15900,17817,11735,155,1898,9082,60,0,0,20001,6286,25,1109,328,1150,264,378,2123,27815,2412,0,313,2373,1590,614
AL,2009,3990,85017,142,4578,27,4531,15319,17067,9804,169,1827,8626,120,0,0,20571,5359,29,965,337,1037,300,379,1828,27221,2152,0,278,2254,1511,609
AL,2010,2678,70047,108,2183,96,3192,13191,8212,6140,163,1178,6370,47,0,0,12691,3697,11,658,176,1022,74,230,688,17457,1496,0,97,1878,1084,412
AL,2011,4,425,0,17,0,30,287,299,193,16,4,9,0,0,0,509,6,0,5,0,1,0,0,11,234,20,0,0,10,20,0
AL,2012,7,321,0,24,0,17,286,306,135,20,6,22,0,0,0,462,8,0,3,1,0,0,1,14,243,18,0,0,4,16,4
AL,2013,10,312,1,11,0,21,259,324,132,17,7,15,0,0,0,670,16,0,2,2,1,4,2,12,233,30,0,4,6,27,0
AL,2014,707,12402,30,601,0,497,2254,427,1675,57,172,848,0,0,0,3390,699,0,156,31,147,0,61,147,3940,329,0,13,275,249,69
AL,2015,4346,64046,115,3317,0,2416,8836,10289,7769,284,1290,4555,0,0,0,17457,1984,7,789,309,992,11,389,1210,19954,2106,0,148,1629,1510,520
AL,2016,4887,73292,115,3302,0,2346,8660,10813,7621,206,1438,3934,0,0,0,15578,2628,13,957,358,1060,1,407,1347,19419,2164,0,67,1696,1780,741
AL,2017,4804,80304,132,3468,0,2305,8065,11985,6933,190,1277,3471,0,0,0,15572,2216,8,1069,345,885,103,375,1221,18170,2690,0,57,1531,2104,630
AL,2018,4649,84007,131,3183,0,2184,7878,12027,6475,181,1154,3140,0,0,0,15965,1754,13,1134,321,597,101,393,1210,17302,2592,0,60,1430,2264,660
AL,2019,4500,88575,106,2691,0,2140,7073,10279,6134,170,1055,2881,0,0,0,15226,1775,5,1045,388,526,106,372,1053,17488,2324,0,33,1378,1478,563
AL,2020,1759,29717,39,1001,0,685,3043,4059,2576,32,346,861,0,0,0,4937,710,2,350,180,156,50,99,321,6984,934,0,9,492,569,216
AL,2021,1593,39461,42,978,0,2257,2220,10656,0,15,279,655,13,7,0,4261,4861,0,441,164,174,51,113,287,5652,1012,0,2,984,1671,73
AL,2022,2877,60792,78,1456,0,2477,6296,17132,0,33,498,1210,9,9,0,8269,6227,0,601,266,307,47,219,428,9683,1467,0,0,1480,1917,88
AK,2004,1260,15586,15,546,1,950,5143,1796,56,5,139,199,23,0,0,3031,1492,7,395,32,434,102,84,135,3934,33,0,16,897,361,211
AK,2005,1482,14961,65,549,6,1040,4754,1885,124,7,130,181,2,0,0,3265,1580,3,392,28,494,123,67,144,4036,29,6,2,981,397,213
AK,2006,1395,15165,43,556,0,913,4359,1703,172,8,122,165,1,0,0,3414,1942,6,386,36,345,192,60,144,4135,16,1,3,955,401,183
AK,2007,1485,15683,30,472,11,989,5255,1767,129,8,137,161,8,0,0,3400,1897,4,359,39,332,343,75,160,4117,21,2,7,960,406,173
AK,2008,1780,15455,46,460,1,847,5567,1725,108,106,87,279,0,0,0,3354,1718,2,269,22,323,159,55,275,4105,38,4,3,887,350,169
