,data_year,state_abbr,Population
0,2014,AL,4843737
1,2015,AL,4854803
2,2016,AL,4866824
3,2017,AL,4877989
4,2018,AL,4891628
5,2019,AL,4907965
6,2020,AL,5031864
7,2021,AL,5050380
8,2022,AL,5073903
9,2014,AK,737075
10,2015,AK,738430
11,2016,AK,742575
12,2017,AK,740983
13,2018,AK,736624
14,2019,AK,733603
15,2020,AK,732964
16,2021,AK,734923
17,2022,AK,733276
18,2014,GA,10071204
19,2015,GA,10183353
20,2016,GA,10308442
21,2017,GA,10417031
22,2018,GA,10519389
23,2019,GA,10628020
24,2020,GA,10732390
25,2021,GA,10790385
26,2022,GA,10913150
27,2014,AZ,6732873
28,2015,AZ,6832810
29,2016,AZ,6944767
30,2017,AZ,7048088
31,2018,AZ,7164228
32,2019,AZ,7291843
33,2020,AZ,7186683
34,2021,AZ,7272487
35,2022,AZ,7365684
36,2014,AR,2968759
37,2015,AR,2979732
38,2016,AR,2991815
39,2017,AR,3003855
40,2018,AR,3012161
41,2019,AR,3020985
42,2020,AR,3014348
43,2021,AR,3028443
44,2022,AR,3046404
45,2014,CA,38586706
46,2015,CA,38904296
47,2016,CA,39149186
48,2017,CA,39337785
49,2018,CA,39437463
50,2019,CA,39437610
51,2020,CA,39503200
52,2021,CA,39145060
53,2022,CA,39040616
54,2014,CO,5352637
55,2015,CO,5454328
56,2016,CO,5543844
57,2017,CO,5617421
58,2018,CO,5697155
59,2019,CO,5758486
60,2020,CO,5785219
61,2021,CO,5811596
62,2022,CO,5841039
63,2014,CT,3595697
64,2015,CT,3588561
65,2016,CT,3579830
66,2017,CT,3575324
67,2018,CT,3574561
68,2019,CT,3566022
69,2020,CT,3577586
70,2021,CT,3603691
71,2022,CT,3608706
72,2014,DE,933131
73,2015,DE,942065
74,2016,DE,949989
75,2017,DE,957942
76,2018,DE,966985
77,2019,DE,976668
78,2020,DE,991862
79,2021,DE,1004881
80,2022,DE,1019459
81,2014,FL,19853880
82,2015,FL,20219111
83,2016,FL,20627237
84,2017,FL,20977089
85,2018,FL,21254926
86,2019,FL,21492056
87,2020,FL,21591299
88,2021,FL,21830708
89,2022,FL,22245521
90,2014,HI,1415335
91,2015,HI,1422999
92,2016,HI,1428885
93,2017,HI,1425763
94,2018,HI,1423102
95,2019,HI,1415615
96,2020,HI,1451181
97,2021,HI,1446745
98,2022,HI,1439399
99,2014,ID,1632248
100,2015,ID,1652495
101,2016,ID,1684036
102,2017,ID,1719745
103,2018,ID,1752074
104,2019,ID,1789060
105,2020,ID,1849339
106,2021,ID,1904537
107,2022,ID,1938996
108,2014,IL,12885092
109,2015,IL,12859585
110,2016,IL,12821709
111,2017,IL,12779893
112,2018,IL,12724685
113,2019,IL,12667017
114,2020,IL,12790357
115,2021,IL,12690341
116,2022,IL,12582515
117,2014,IN,6596019
118,2015,IN,6611442
119,2016,IN,6637898
120,2017,IN,6662068
121,2018,IN,6698481
122,2019,IN,6731010
123,2020,IN,6789098
124,2021,IN,6813798
125,2022,IN,6832274
126,2014,IA,3110643
127,2015,IA,3122541
128,2016,IA,3133210
129,2017,IA,3143734
130,2018,IA,3149900
131,2019,IA,3159596
132,2020,IA,3190904
133,2021,IA,3197944
134,2022,IA,3199693
135,2014,KS,2901861
136,2015,KS,2910717
137,2016,KS,2912977
138,2017,KS,2910892
139,2018,KS,2912748
140,2019,KS,2912635
141,2020,KS,2938124
142,2021,KS,2937946
143,2022,KS,2936716
144,2014,KY,4416992
145,2015,KY,4429126
146,2016,KY,4440306
147,2017,KY,4455590
148,2018,KY,4464273
149,2019,KY,4472345
150,2020,KY,4508155
151,2021,KY,4507600
152,2022,KY,4511563
153,2014,LA,4645938
154,2015,LA,4666998
155,2016,LA,4681346
156,2017,LA,4673673
157,2018,LA,4664450
158,2019,LA,4658285
159,2020,LA,4652022
160,2021,LA,4627047
161,2022,LA,4588023
162,2014,ME,1331217
163,2015,ME,1329098
164,2016,ME,1332348
165,2017,ME,1335743
166,2018,ME,1340123
167,2019,ME,1345770
168,2020,ME,1364517
169,2021,ME,1378787
170,2022,ME,1389338
171,2014,MD,5960064
172,2015,MD,5988528
173,2016,MD,6007014
174,2017,MD,6028186
175,2018,MD,6042153
176,2019,MD,6054954
177,2020,MD,6173689
178,2021,MD,6175045
179,2022,MD,6163981
180,2014,MA,6764864
181,2015,MA,6797484
182,2016,MA,6827280
183,2017,MA,6863560
184,2018,MA,6885720
185,2019,MA,6894883
186,2020,MA,6997713
187,2021,MA,6991951
188,2022,MA,6982740
189,2014,MI,9932033
190,2015,MI,9934483
191,2016,MI,9954117
192,2017,MI,9976752
193,2018,MI,9987286
194,2019,MI,9984795
195,2020,MI,10070627
196,2021,MI,10038117
197,2022,MI,10033281
198,2014,MN,5452665
199,2015,MN,5484002
200,2016,MN,5525360
201,2017,MN,5569283
202,2018,MN,5608762
203,2019,MN,5640053
204,2020,MN,5710578
205,2021,MN,5717968
206,2022,MN,5714300
207,2014,MS,2991892
208,2015,MS,2990231
209,2016,MS,2990595
210,2017,MS,2990674
211,2018,MS,2982879
212,2019,MS,2978227
213,2020,MS,2958409
214,2021,MS,2949582
215,2022,MS,2938928
216,2014,MO,6059130
217,2015,MO,6075411
218,2016,MO,6091384
219,2017,MO,6111382
220,2018,MO,6125986
221,2019,MO,6140475
222,2020,MO,6154426
223,2021,MO,6170393
224,2022,MO,6177168
225,2014,MT,1022657
226,2015,MT,1031495
227,2016,MT,1042137
228,2017,MT,1053862
229,2018,MT,1061818
230,2019,MT,1070123
231,2020,MT,1087211
232,2021,MT,1106366
233,2022,MT,1122878
234,2014,NE,1879955
235,2015,NE,1892059
236,2016,NE,1906483
237,2017,NE,1916998
238,2018,NE,1925512
239,2019,NE,1932571
240,2020,NE,1963273
241,2021,NE,1964253
242,2022,NE,1968060
243,2014,NV,2818935
244,2015,NV,2868531
245,2016,NV,2919555
246,2017,NV,2972097
247,2018,NV,3030725
248,2019,NV,3090771
249,2020,NV,3115840
250,2021,NV,3146632
251,2022,NV,3177421
252,2014,NH,1334257
253,2015,NH,1337480
254,2016,NH,1343694
255,2017,NH,1350395
256,2018,NH,1355064
257,2019,NH,1360783
258,2020,NH,1378702
259,2021,NH,1387494
260,2022,NH,1399003
261,2014,NJ,8867277
262,2015,NJ,8870312
263,2016,NJ,8873584
264,2017,NJ,8888147
265,2018,NJ,8891730
266,2019,NJ,8891258
267,2020,NJ,9272392
268,2021,NJ,9269175
269,2022,NJ,9260817
270,2014,NM,2090236
