State,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,6.733333333,6.125,5.533363678,4.508333333,3.941666667,3.183333333,6.425,3.366666667,2.575
Alaska,6.753846154,6.31183432,4.063632226,6.513679493,6.077975346,5.629075027,8.102236541,6.561710503,4.220131577
Arizona,6.838461538,6.133727811,5.579472007,5.017951052,4.824457773,4.809573675,7.608428744,5.269879134,3.936144549
Arkansas,5.953846154,5.027218935,3.187983614,3.766433248,3.666648711,3.505126824,5.992702063,4.222515543,3.370962734
California,7.630769231,6.333136095,4.930632681,4.890728616,4.306979124,4.115921471,9.731993959,7.510153381,4.439242568
Colorado,5.069230769,3.843786982,4.550568958,2.652921816,3.019455524,2.693804271,6.453369559,5.534874581,3.210374968
Connecticut,6.676923077,5.698224852,6.290714611,4.456202514,3.927400193,3.632876938,7.633298226,6.394869094,4.330374546
Delaware,5.646153846,4.85739645,4.969094219,4.473120689,3.76716313,3.605166395,7.208089723,5.631391517,4.579337809
District of Columbia,7.730769231,6.979289941,5.519981793,6.114670355,5.716513104,5.493577931,7.699505995,6.899962,4.792304769
Florida,6.476923077,5.598224852,2.937050523,4.351468786,3.703959137,3.284919934,7.798839995,4.899910769,3.05383929
Georgia,7.176923077,6.159763314,3.693536641,4.816921676,4.062840129,3.612526164,6.262502013,4.097115539,3.115162734
Hawaii,4.261538462,3.481656805,5.899271734,2.272080809,2.39785237,2.507527105,11.13904055,6.410695427,3.700822725
Idaho,4.507692308,3.915976331,4.405871643,3.253348972,2.904103767,2.877238751,5.31363375,3.639510288,2.749193099
Illinois,7.276923077,6.090532544,3.587255348,5.023020903,4.447924685,4.003686514,8.923360501,6.309489269,4.677653021
Indiana,5.992307692,4.876331361,4.029221666,3.561990126,3.44323001,3.303325385,7.03102503,4.133155772,3.079473521
Iowa,4.246153846,3.734319527,5.056258534,3.099019642,2.615309203,2.662716093,5.004824315,3.908063409,2.831389493
Kansas,4.538461538,4.179881657,6.083477469,3.648401667,3.380646282,3.283126637,5.652548203,3.488657554,2.729896735
Kentucky,6.507692308,5.331360947,3.829039599,4.796635272,4.245895021,4.111222694,6.270094053,4.566930312,3.958994639
Louisiana,6.207692308,6.285207101,4.350068275,5.183344421,4.852564955,4.634812689,8.356524053,5.812040312,3.79323387
Maine,5.607692308,4.477514793,4.105234411,3.394541508,3.191887808,2.960914447,4.950839573,4.642372275,3.072490175
Maryland,5.761538462,5.050887574,5.051524807,4.026928329,3.832840641,3.425603126,6.278892548,5.390684042,3.399283388
Massachusetts,5.784615385,4.868047337,3.871597633,3.815787262,3.501214405,3.05393957,8.934918428,5.787301418,3.922100109
Michigan,7.307692308,5.569822485,6.013199818,4.611655754,4.193204289,4.07640033,9.544338487,6.134179884,4.356475376
Minnesota,4.3,3.830769231,4.599317251,3.513199818,3.062553832,3.235581064,6.033506236,3.956423557,2.765878735
Mississippi,7.630769231,6.571597633,4.324806554,5.293323063,4.984101774,5.483392444,7.85256865,5.680966819,4.044689755
Missouri,6.184615385,5.19112426,3.061948111,3.807639789,3.285203061,3.214246389,5.962634338,4.227894949,2.625222688
Montana,4.692307692,4.322485207,5.896631771,4.109600504,3.777661577,3.521358583,5.663181429,3.558706264,2.704515866
Nebraska,3.269230769,3.005325444,2.9282203,2.981688316,2.92936064,3.109950818,4.216150063,2.80893462,2.377610355
